id,general_id
21. Tiền thu từ chuyển quyền góp vốn vào dự án_290604,30048
Lưu chuyển tiền thuần từ hoạt động đầu tư_30,30049
III. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_301,30050
"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu_31",30051
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp của doanh nghiệp đã phát hành_32",30052
Tiền thu từ nhận góp vốn liên doanh_33,30053
"Tiền vay ngắn hạn, dài hạn nhận được_3301",30054
Tiền chi trả nợ gốc vay_34,30055
Tiền chi trả nợ thuê tài chính_35,30056
Tiền chi cho đầu tư ngắn hạn_36,30057
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu_38",30058
"Cổ tức, lợi nhuận đã trả cho cổ đông thiểu số_38",30059
Nhận vốn góp của cổ đông thiểu số_39,30060
Chi khác từ lợi nhuận chưa phân phối_40,30061
Tiền thu từ lãi tiền gửi_41,30062
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính_42,30063
Lưu chuyển tiền thuần trong năm_52,30064
Tiền và tương đương tiền đầu năm_62,30065
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ_63,30066
Chênh lệch tỷ giá chuyển đối báo cáo tài chính_63,30067
Tiền và tương đương tiền cuối năm_72,30068
I. Lưu chuyển tiền từ hoạt động kinh doanh_4920,40001
1. Thu nhập lãi và các khoản thu nhập tương tự đạt được_4921,40002
2. Chi phí lãi và các chi phí tương tự đã trả_4922,40003
3. Thu nhập từ hoạt động dịch vụ nhận được_4923,40004
"4. Chênh lệch số tiền thực thu / (thực chi) từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán_4924",40005
5. Thu nhập thuần từ chứng khoán kinh doanh và chứng khoán sẵn sàng để bán_4925,40006
5. Thu nhập / (chi phí) khác_4926,40007
"6. Tiền thu từ các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro_4927",40008
"6. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ_4928",40009
7. Tiền thuế thu nhập thực nộp trong kỳ_4929,40010
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi của tài sản và công nợ hoạt động_4930,40011
Thay đổi tài sản hoạt động_4931,40012
"8. (Tăng) / giảm tiền, vàng gửi và cho vay các tổ chức tín dụng khác_4932",40013
9. (Tăng) / giảm về kinh doanh chứng khoán_4933,40014
10. (Tăng) / giảm các công cụ tài chính phái sinh và các khoản nợ tài chính khác_4934,40015
11. (Tăng) / giảm các khoản cho vay khách hàng_4935,40016
"11. Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dung, chứng khoán, đầu tư dài hạn_4936",40017
12. (Tăng) / giảm khác về tài sản hoạt động_4937,40018
Thay đổi công nợ hoạt động_4938,40019
13. Tăng / (giảm) nợ chính phủ và Ngân hàng Nhà nước Việt Nam_4939,40020
14. Tăng / (giảm) tiền gửi và vay các tổ chức tín dụng_4940,40021
15. Tăng / (giảm) tiền gửi của khách hàng_4941,40022
"16. Tăng / (giảm) vốn tài trợ, ủy thác đầu tư, cho vay và Ngân hàng chịu rủi ro_4942",40023
17. Tăng / (giảm) phát hành giấy tờ có giá_4943,40024
18. Tăng / (giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác_4944,40025
19. Tăng / (giảm) khác về công nợ hoạt động_4945,40026
20. Chi từ các quỹ_4946,40027
Lưu chuyển tiền thuần từ hoạt động kinh doanh_4947,40028
Lưu chuyển tiền từ hoạt động đầu tư_4947,40029
1. Mua sắm tài sản cố định_4986,40030
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định_4987",40031
"3. Tiền chi từ thanh lý, nhượng bán tài sản cố định_4988",40032
4. Mua sắm bất động sản đầu tư_4989,40033
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư_4990",40034
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư_4991",40035
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác_4992",40036
"8. Tiền thu hồi đầu tư, góp vốn vào các đơn vị khác_4993",40037
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn_4994",40038
II. Lưu chuyển tiền thuần từ hoạt động đầu tư_50,40039
10. Tiền thu cổ tức đã có quyết định trả cổ tức năm trước_5436,40040
11. Hoạt động đầu tư khác_9856,40041
Lưu chuyển tiền tệ từ hoạt động tài chính_003,40042
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu_51,40043
2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác_52,40044
3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác_53,40045
4. Cổ tức trả cho cổ đông và lợi nhuận đã chia_54,40046
5. Tiền chi ra mua cổ phiếu quỹ_55,40047
6. Tiền thu được do bán cổ phiếu quỹ_56,40048
7. Chi từ các quỹ_57,40049
8. Các khoản khác_58,40050
III. Lưu chuyển tiền thuần từ hoạt động tài chính_60,40051
IV. Lưu chuyển tiền thuần trong kì_70,40052
V. Tiền và các khoản tương đương tiền tại thời điểm đầu kì_80,40053
VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá_81,40054
Giảm tiền và các khoản tương đương tiền do thanh lý công ty con_82,40055
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kì_90,40056
